x_m,p_over_rho_m2_s2
0.000000,5.080668
0.006000,5.077579
0.012000,5.074489
0.018000,5.071399
0.024000,5.068309
0.030000,5.065219
0.036000,5.062129
0.042000,5.059040
0.048000,5.055950
0.054000,5.052860
0.060000,5.049770
0.066000,5.046680
0.072000,5.043590
0.078000,5.040500
0.084000,5.037411
0.090000,5.034321
0.096000,5.031231
0.102000,5.028141
0.108000,5.025051
0.114000,5.021961
0.120000,5.018872
0.126000,5.015782
0.132000,5.012692
0.138000,5.009602
0.144000,5.006512
0.150000,5.003422
0.156000,5.000332
0.162000,4.997243
0.168000,4.994153
0.174000,4.991063
0.180000,4.987973
0.186000,4.984883
0.192000,4.981793
0.198000,4.978704
0.204000,4.975614
0.210000,4.972524
0.216000,4.969434
0.222000,4.966344
0.228000,4.963254
0.234000,4.960165
0.240000,4.957075
0.246000,4.953985
0.252000,4.950895
0.258000,4.947805
0.264000,4.944715
0.270000,4.941625
0.276000,4.938536
0.282000,4.935446
0.288000,4.932356
0.294000,4.929266
0.300000,4.926176
0.306000,4.923086
0.312000,4.919997
0.318000,4.916907
0.324000,4.913817
0.330000,4.910727
0.336000,4.907637
0.342000,4.904547
0.348000,4.901457
0.354000,4.898368
0.360000,4.895278
0.366000,4.892188
0.372000,4.889098
0.378000,4.886008
0.384000,4.882918
0.390000,4.879829
0.396000,4.876739
0.402000,4.873649
0.408000,4.870559
0.414000,4.867469
0.420000,4.864379
0.426000,4.861289
0.432000,4.858200
0.438000,4.855110
0.444000,4.852020
0.450000,4.848930
0.456000,4.845840
0.462000,4.842750
0.468000,4.839661
0.474000,4.836571
0.480000,4.833481
0.486000,4.830391
0.492000,4.827301
0.498000,4.824211
0.504000,4.821121
0.510000,4.818032
0.516000,4.814942
0.522000,4.811852
0.528000,4.808762
0.534000,4.805672
0.540000,4.802582
0.546000,4.799493
0.552000,4.796403
0.558000,4.793313
0.564000,4.790223
0.570000,4.787133
0.576000,4.784043
0.582000,4.780953
0.588000,4.777864
0.594000,4.774774
0.600000,4.771684
0.606000,4.768594
0.612000,4.765504
0.618000,4.762414
0.624000,4.759325
0.630000,4.756235
0.636000,4.753145
0.642000,4.750055
0.648000,4.746965
0.654000,4.743875
0.660000,4.740785
0.666000,4.737696
0.672000,4.734606
0.678000,4.731516
0.684000,4.728426
0.690000,4.725336
0.696000,4.722246
0.702000,4.719157
0.708000,4.716067
0.714000,4.712977
0.720000,4.709887
0.726000,4.706797
0.732000,4.703707
0.738000,4.700618
0.744000,4.697528
0.750000,4.694438
0.756000,4.691348
0.762000,4.688258
0.768000,4.685168
0.774000,4.682078
0.780000,4.678989
0.786000,4.675899
0.792000,4.672809
0.798000,4.669719
0.804000,4.666629
0.810000,4.663539
0.816000,4.660450
0.822000,4.657360
0.828000,4.654270
0.834000,4.651180
0.840000,4.648090
0.846000,4.645000
0.852000,4.641910
0.858000,4.638821
0.864000,4.635731
0.870000,4.632641
0.876000,4.629551
0.882000,4.626461
0.888000,4.623371
0.894000,4.620282
0.900000,4.617192
0.906000,4.614102
0.912000,4.611012
0.918000,4.607922
0.924000,4.604832
0.930000,4.601742
0.936000,4.598653
0.942000,4.595563
0.948000,4.592473
0.954000,4.589383
0.960000,4.586293
0.966000,4.583203
0.972000,4.580114
0.978000,4.577024
0.984000,4.573934
0.990000,4.570844
0.996000,4.567754
1.002000,4.564664
1.008000,4.561574
1.014000,4.558485
1.020000,4.555395
1.026000,4.552305
1.032000,4.549215
1.038000,4.546125
1.044000,4.543035
1.050000,4.539946
1.056000,4.536856
1.062000,4.533766
1.068000,4.530676
1.074000,4.527586
1.080000,4.524496
1.086000,4.521406
1.092000,4.518317
1.098000,4.515227
1.104000,4.512137
1.110000,4.509047
1.116000,4.505957
1.122000,4.502867
1.128000,4.499778
1.134000,4.496688
1.140000,4.493598
1.146000,4.490508
1.152000,4.487418
1.158000,4.484328
1.164000,4.481238
1.170000,4.478149
1.176000,4.475059
1.182000,4.471969
1.188000,4.468879
1.194000,4.465789
1.200000,4.462699
1.206000,4.459610
1.212000,4.456520
1.218000,4.453430
1.224000,4.450340
