station,x,r,Ux,Ur,Uz,k,epsilon,nut
expansion_4D,2.6,0.049969042,0.026051108,1.1730954e-08,-8.5062658e-16,5.2790222e-05,0.02880918,2.9185871e-10
expansion_4D,2.6,0.049969017,0.026086452,1.1746739e-08,-8.8955831e-16,5.2861777e-05,0.028848278,2.9225474e-10
expansion_4D,2.6,0.049968991,0.026123539,1.1763302e-08,-9.3041137e-16,5.2936864e-05,0.028889306,2.9267032e-10
expansion_4D,2.6,0.049968964,0.026162457,1.1780683e-08,-9.7328062e-16,5.3015656e-05,0.028932358,2.9310641e-10
expansion_4D,2.6,0.049968935,0.026203296,1.1798922e-08,-1.0182654e-15,5.3098337e-05,0.028977536,2.9356402e-10
expansion_4D,2.6,0.049968906,0.02624615,1.1818061e-08,-1.0654702e-15,5.3185097e-05,0.029024942,2.9404422e-10
expansion_4D,2.6,0.049968874,0.026291119,1.1838144e-08,-1.1150047e-15,5.327614e-05,0.029074689,2.9454811e-10
expansion_4D,2.6,0.049968841,0.026338307,1.1859218e-08,-1.1669835e-15,5.3371676e-05,0.02912689,2.9507687e-10
expansion_4D,2.6,0.049968807,0.026387824,1.1881333e-08,-1.2215277e-15,5.3471926e-05,0.029181667,2.9563172e-10
expansion_4D,2.6,0.04996877,0.026439784,1.1904538e-08,-1.2787636e-15,5.3577124e-05,0.029239148,2.9621396e-10
expansion_4D,2.6,0.049968732,0.026494309,1.1928889e-08,-1.338824e-15,5.3687513e-05,0.029299465,2.9682493e-10
expansion_4D,2.6,0.049968693,0.026551525,1.1954442e-08,-1.4018485e-15,5.380335e-05,0.029362759,2.9746605e-10
expansion_4D,2.6,0.049968651,0.026611564,1.1981256e-08,-1.4679832e-15,5.3924903e-05,0.029429177,2.9813881e-10
expansion_4D,2.6,0.049968607,0.026674566,1.2009393e-08,-1.5373818e-15,5.4052455e-05,0.029498872,2.9884477e-10
expansion_4D,2.6,0.049968561,0.026740678,1.2038918e-08,-1.6102052e-15,5.4186302e-05,0.029572007,2.9958557e-10
expansion_4D,2.6,0.049968512,0.026810052,1.2069901e-08,-1.6866224e-15,5.4326754e-05,0.029648751,3.0036292e-10
expansion_4D,2.6,0.049968461,0.026882849,1.2102413e-08,-1.7668108e-15,5.4474138e-05,0.029729282,3.0117865e-10
expansion_4D,2.6,0.049968408,0.02695924,1.2136529e-08,-1.8509567e-15,5.4628796e-05,0.029813788,3.0203463e-10
expansion_4D,2.6,0.049968352,0.027039399,1.2172329e-08,-1.939255e-15,5.4791085e-05,0.029902464,3.0293285e-10
expansion_4D,2.6,0.049968293,0.027123516,1.2209895e-08,-2.031911e-15,5.4961384e-05,0.029995516,3.0387539e-10
expansion_4D,2.6,0.049968232,0.027211783,1.2249316e-08,-2.1291396e-15,5.5140086e-05,0.03009316,3.0486446e-10
expansion_4D,2.6,0.049968167,0.027304406,1.2290682e-08,-2.2311664e-15,5.5327608e-05,0.030195623,3.0590233e-10
expansion_4D,2.6,0.049968099,0.0274016,1.2334089e-08,-2.3382284e-15,5.5524385e-05,0.030303143,3.0699142e-10
expansion_4D,2.6,0.049968028,0.027503591,1.2379638e-08,-2.4505737e-15,5.5730872e-05,0.030415969,3.0813426e-10
expansion_4D,2.6,0.049967954,0.027610615,1.2427436e-08,-2.5684635e-15,5.5947549e-05,0.030534363,3.0933351e-10
expansion_4D,2.6,0.049967875,0.027722921,1.2477592e-08,-2.692171e-15,5.6174919e-05,0.030658599,3.1059193e-10
expansion_4D,2.6,0.049967793,0.027840769,1.2530223e-08,-2.8219837e-15,5.6413511e-05,0.030788967,3.1191245e-10
expansion_4D,2.6,0.049967707,0.027964432,1.2585452e-08,-2.9582025e-15,5.6663876e-05,0.030925769,3.1329815e-10
expansion_4D,2.6,0.049967616,0.028094199,1.2643406e-08,-3.1011439e-15,5.6926598e-05,0.031069321,3.1475223e-10
expansion_4D,2.6,0.049967521,0.02823037,1.270422e-08,-3.2511394e-15,5.7202285e-05,0.031219958,3.1627807e-10
expansion_4D,2.6,0.049967421,0.028373261,1.2768036e-08,-3.4085373e-15,5.7491577e-05,0.031378029,3.1787921e-10
expansion_4D,2.6,0.049967317,0.028523203,1.2835001e-08,-3.5737029e-15,5.7795145e-05,0.031543901,3.1955936e-10
expansion_4D,2.6,0.049967207,0.028680545,1.2905271e-08,-3.7470193e-15,5.8113695e-05,0.031717959,3.2132243e-10
expansion_4D,2.6,0.049967092,0.028845652,1.2979008e-08,-3.9288891e-15,5.8447966e-05,0.031900606,3.2317251e-10
expansion_4D,2.6,0.049966971,0.029018908,1.3056384e-08,-4.119734e-15,5.8798732e-05,0.032092267,3.251139e-10
expansion_4D,2.6,0.049966844,0.029200713,1.3137579e-08,-4.3199974e-15,5.916681e-05,0.032293387,3.2715109e-10
expansion_4D,2.6,0.049966711,0.02939149,1.3222781e-08,-4.5301437e-15,5.9553052e-05,0.032504432,3.2928881e-10
expansion_4D,2.6,0.049966571,0.029591683,1.3312188e-08,-4.750661e-15,5.9958355e-05,0.032725892,3.3153204e-10
expansion_4D,2.6,0.049966425,0.029801755,1.3406007e-08,-4.9820607e-15,6.038366e-05,0.032958282,3.3388596e-10
expansion_4D,2.6,0.049966271,0.030022194,1.3504456e-08,-5.2248801e-15,6.0829954e-05,0.033202139,3.3635606e-10
expansion_4D,2.6,0.04996611,0.030253512,1.3607763e-08,-5.4796827e-15,6.1298273e-05,0.033458032,3.3894805e-10
expansion_4D,2.6,0.04996594,0.030496246,1.3716169e-08,-5.7470599e-15,6.1789703e-05,0.033726552,3.4166796e-10
expansion_4D,2.6,0.049965762,0.030750958,1.3829925e-08,-6.0276323e-15,6.2305386e-05,0.034008325,3.445221e-10
expansion_4D,2.6,0.049965576,0.031018241,1.3949294e-08,-6.322051e-15,6.2846517e-05,0.034304002,3.4751709e-10
expansion_4D,2.6,0.04996538,0.031298714,1.4074554e-08,-6.6309995e-15,6.3414354e-05,0.034614272,3.5065989e-10
expansion_4D,2.6,0.049965175,0.031593029,1.4205996e-08,-6.9551945e-15,6.4010214e-05,0.034939853,3.5395778e-10
expansion_4D,2.6,0.049964959,0.031901868,1.4343925e-08,-7.2953886e-15,6.4635479e-05,0.035281502,3.5741843e-10
expansion_4D,2.6,0.049964733,0.032225948,1.4488661e-08,-7.6523716e-15,6.5291602e-05,0.035640012,3.6104986e-10
expansion_4D,2.6,0.049964496,0.032566022,1.4640539e-08,-8.0269717e-15,6.5980104e-05,0.036016214,3.648605e-10
expansion_4D,2.6,0.049964247,0.032922879,1.4799912e-08,-8.4200584e-15,6.6702585e-05,0.036410982,3.688592e-10
expansion_4D,2.6,0.049963986,0.033297346,1.4967151e-08,-8.8325442e-15,6.746072e-05,0.036825231,3.7305523e-10
