mesh,step,comparison,area_weighted_RMS/Ubulk [%],maximum_difference/Ubulk [%]
coarse,expansion,3D vs 4D,0.15143624699677935,0.458001956965437
coarse,expansion,3D vs 2D,0.14399693980408856,0.866592607505478
coarse,contraction,3D vs 4D,0.14110840991147552,0.2473879704791182
coarse,contraction,3D vs 2D,0.4974820370523828,0.9261762439018217
medium,expansion,3D vs 4D,0.1499254913561427,0.46870707341115647
medium,expansion,3D vs 2D,0.14211450602399336,0.4601231345427337
medium,contraction,3D vs 4D,0.1346656926898897,0.23958799616461413
medium,contraction,3D vs 2D,0.46373615499760185,0.9464316471441747
fine,expansion,3D vs 4D,0.13751015618563656,0.4397795925000114
fine,expansion,3D vs 2D,0.13441401059546662,0.42638460797459476
fine,contraction,3D vs 4D,0.12889088853936653,0.23295143182600064
fine,contraction,3D vs 2D,0.44579151112888693,0.8440543500353281
